model,type,zone,hemisphere,growthform,valci,valse,lower_bci,upper_bci,mean_b
lat median vs env.breadth,Global,tropical,North,tree,"0.001 (0, 0.002)",0.001 ± 0.001,-1.1165467661872325e-4,0.002096737039548569,0.0010000798811702675
lat median vs env.breadth,Hemisphere Specific,tropical,North,tree,"0.005 (0.004, 0.006)",0.005 ± 0.001,0.0038177100733540943,0.00555665346510323,0.004682858853951201
lat median vs env.breadth,Global,else,North,tree,"0.004 (0.004, 0.005)",0.004 ± 0,0.004159139273648825,0.004774932519689828,0.004469212974998338
lat median vs env.breadth,Hemisphere Specific,else,North,tree,"0.004 (0.004, 0.004)",0.004 ± 0,0.003771371284894946,0.004396872205035284,0.004086172484800039
lat median vs env.breadth,Global,tropical,South,tree,"0.007 (0.006, 0.008)",0.007 ± 0.001,0.0059242158842229276,0.008221174367003904,0.007046272116284878
lat median vs env.breadth,Hemisphere Specific,tropical,South,tree,"0.003 (0.002, 0.003)",0.003 ± 0.001,0.0015575988704912087,0.0033890903646091176,0.002505492149000971
lat median vs env.breadth,Global,else,South,tree,"-0.002 (-0.002, -0.001)",-0.002 ± 0,-0.0018102032589361787,-0.0011984977282027433,-0.001505801586809896
lat median vs env.breadth,Hemisphere Specific,else,South,tree,"0 (-0.001, 0)",0 ± 0,-6.841853644417329e-4,-2.630636512954383e-5,-3.5155136800798175e-4
lat median vs env.breadth,Global,tropical,North,herb,"0.003 (0.002, 0.004)",0.003 ± 0.001,0.0019881168878960976,0.003946455349855303,0.002971504564193321
lat median vs env.breadth,Hemisphere Specific,tropical,North,herb,"0.007 (0.006, 0.008)",0.007 ± 0,0.005985852073374095,0.007505458391839361,0.006749651732170714
lat median vs env.breadth,Global,else,North,herb,"0.001 (0, 0.001)",0.001 ± 0,4.580625868076853e-4,6.81479433607801e-4,5.687731553170468e-4
lat median vs env.breadth,Hemisphere Specific,else,North,herb,"0 (0, 0)",0 ± 0,2.0467456704675917e-4,4.250766151381981e-4,3.1264177892501493e-4
lat median vs env.breadth,Global,tropical,South,herb,"0.007 (0.005, 0.008)",0.007 ± 0.001,0.005402717778153085,0.0077289725885896984,0.006551038243394686
lat median vs env.breadth,Hemisphere Specific,tropical,South,herb,"0.003 (0.002, 0.004)",0.003 ± 0.001,0.001986391369710275,0.0036680831988022875,0.0027731319765045546
lat median vs env.breadth,Global,else,South,herb,"-0.004 (-0.004, -0.004)",-0.004 ± 0,-0.003982679620125728,-0.003714366732171051,-0.0038509554311904636
lat median vs env.breadth,Hemisphere Specific,else,South,herb,"-0.003 (-0.004, -0.003)",-0.003 ± 0,-0.0036255927112855313,-0.0033437412437813158,-0.00348410892895794
